event,theta,theta2
0,0.017367953,0.00029373814
1,0.0042979444,1.0564688e-05
2,0.0045881238,1.3143242e-05
3,0.0080582385,5.7027571e-05
4,0.89012262,0.79231037
4,2.5661934,6.5853404
5,0.0065798454,3.5386728e-05
6,0.0071688506,4.3484781e-05
7,0.0055507651,2.2903356e-05
8,0.0047192366,1.4363556e-05
9,0.0028610364,2.7789146e-07
10,0.0085114471,6.4537094e-05
11,0.15330712,0.023495164
12,0.047855062,0.0022821993
13,0.077930143,0.0060651995
14,0.060312385,0.0036296762
15,0.09937736,0.0098679521
16,0.0055316571,2.2691592e-05
17,0.0041327963,9.172368e-06
18,0.0051836418,1.8962505e-05
19,1.0179023,1.0361172
20,0.11630995,0.013520096
21,0.0030751901,1.5491566e-06
21,2.758151,7.6073892
22,0.0074618548,4.777164e-05
23,0.0024544954,0
24,0.18309733,0.033516726
25,0.0072197055,4.421651e-05
26,0.0023641461,0
27,0.0073142915,4.5591223e-05
28,0.0022692713,0
29,0.0048914055,1.601821e-05
30,0.42748807,0.18273814
31,0.0072239343,4.4277589e-05
32,0.001296794,0
33,0.0039803289,7.9353806e-06
34,0.009127666,7.5406648e-05
35,0.01161942,0.00012710327
36,0.0081301145,5.8191124e-05
37,0.0025890392,0
38,0.0060886067,2.9163494e-05
39,0.0024541146,0
40,0.0047575635,1.4726773e-05
41,0.0078730382,5.4077093e-05
42,0.0062769684,3.1492695e-05
43,0.0045541185,1.2832358e-05
44,0.0032424055,2.6055562e-06
45,0.0010276501,0
46,0.0079417482,5.5163727e-05
47,0.18728833,0.035069013
48,0.0076531249,5.0662683e-05
48,2.3356595,5.4552974
49,0.0016932022,0
50,0.0073502912,4.6119144e-05
51,0.0058614725,2.6449223e-05
52,0.61859783,0.38265536
53,0.012684138,0.00015297973
54,0.0084684033,6.3806217e-05
55,0.0042964906,1.0552194e-05
56,0.004115898,9.0329785e-06
57,0.0037698332,6.3040052e-06
58,0.0030727607,1.5342206e-06
59,0.0064488948,3.3680606e-05
60,0.003481491,4.2131423e-06
61,0.0057240461,2.4857066e-05
62,0.10474289,0.010963166
63,0.46302177,0.21438125
64,0.29186199,0.085175514
65,0.0013813943,0
